"","document","topic","gamma"
"177","32364506",1,1.57027258766752e-05
"178","32369075",1,2.56654266066393e-05
"179","32373324",1,1.19527689889058e-05
"180","32392202",1,0.575245690338487
"181","32398245",1,1.45427634143998e-05
"182","32470907",1,5.84691991401219e-06
"183","32481469",1,2.13896854235373e-05
"184","32529742",1,1.84496889186668e-05
"185","32532736",1,0.241915170854725
"186","32534401",1,1.66782759776716e-05
"187","32574103",1,0.58084781681438
"188","32604241",1,2.28813061406114e-05
"189","32715464",1,0.367251341238493
"190","32738322",1,8.60796351935451e-06
"191","32741333",1,7.76994994970638e-06
"192","32750861",1,2.52269227192552e-05
"193","32831192",1,7.11474621143085e-06
"194","32838312",1,2.41935327130399e-05
"195","32863771",1,1.24569795830374e-05
"196","32887039",1,8.02327722602562e-06
"197","32889746",1,6.88259531179744e-06
"198","32945623",1,1.39915333138036e-05
"199","32996097",1,1.58715187944655e-05
"200","33033834",1,0.999867376064182
"201","33041733",1,3.64307191728159e-05
"202","33059557",1,1.12257675952163e-05
"203","33078422",1,1.44009236599619e-05
"204","33118913",1,7.13192913745528e-06
"205","33125508",1,3.50276750188295e-06
"206","33165216",1,2.58904453506756e-05
"207","33179127",1,6.89867392323711e-06
"208","33180090",1,3.20776668232813e-05
"209","33187526",1,6.02588568717316e-06
"210","33194778",1,2.56654266066393e-05
"211","33202053",1,1.6584608876975e-05
"212","33228178",1,2.3803500214688e-05
"213","33287495",1,6.2424338207386e-06
"214","33291874",1,1.57027258766752e-05
"215","33308154",1,5.00014704001099e-05
"216","33312427",1,0.0821831015541222
"217","33315965",1,5.26333159316909e-06
"218","33335786",1,7.91574361983373e-06
"219","33373964",1,6.46095906112552e-06
"220","33399988",1,2.27053760208621e-05
"221","33423726",1,1.37312972044872e-05
"222","33431076",1,9.55493708130976e-06
"223","33465577",1,3.21661209657277e-06
"224","33478131",1,8.89311640295738e-06
"225","33542171",1,5.00014704001099e-05
"226","33556707",1,5.49853842135006e-06
"227","33651930",1,1.09347928249775e-05
"228","33659658",1,1.21494745788917e-05
"229","33669733",1,1.18567855787811e-05
"230","33680497",1,0.209525456440388
"231","33706599",1,0.999324483600134
"232","33712470",1,2.28813061406114e-05
"233","33726653",1,3.73523268621883e-05
"234","33763271",1,1.11832552589181e-05
"235","33772776",1,1.28920457023051e-05
"236","33780962",1,2.56654266066393e-05
"237","33798965",1,8.48430686896264e-06
"238","33805420",1,1.6868820539052e-05
"239","33805449",1,1.66782759776716e-05
"240","33814080",1,2.75832784103392e-05
"241","33869866",1,6.34981689264405e-06
"242","33881958",1,1.39915333138036e-05
"243","33910833",1,4.40364038089125e-05
"244","33926707",1,0.584980309361867
"245","33952306",1,1.95489093122748e-05
"246","34020234",1,2.73280172762266e-05
"247","34023438",1,9.55493708130976e-06
"248","34043861",1,0.0171484006904511
"249","34049118",1,0.999817273727144
"250","34077752",1,0.375584368660214
"251","34094882",1,0.822983653486212
"252","34109946",1,7.64919200245883e-06
"253","34158847",1,4.17651090843614e-06
"254","34163944",1,2.73668049100762e-06
"255","34174551",1,2.39969317268449e-05
"256","34180115",1,1.30631343415768e-05
"257","34230517",1,2.34258438992422e-05
"258","34295221",1,4.49432943934311e-06
"259","34301614",1,1.03593966529852e-05
"260","34316241",1,1.45427634143998e-05
"261","34341322",1,3.4314107694886e-05
"262","34344850",1,1.0111105172581e-05
"263","34357893",1,3.20776668232813e-05
"264","34376576",1,5.85851958629019e-06
"265","34402406",1,1.28920457023051e-05
