"","document","topic","gamma"
"149","51259956",1,0.161971830985915
"150","51244488",1,0.036231884057971
"151","51120700",1,0.0443037974683544
"152","51166088",1,0.095959595959596
"153","51239970",1,0.123188405797101
"154","54952153",1,0.0274725274725275
"155","55003570",1,0.110169491525424
"156","54843730",1,0.036231884057971
"157","54839397",1,0.0245098039215686
"158","54897310",1,0.157534246575342
"159","54886582",1,0.158823529411765
"160","54874354",1,0.0671296296296296
"161","54846504",1,0.044
"162","54897654",1,0.0294117647058824
"163","54871028",1,0.040983606557377
"164","54896141",1,0.0511363636363636
"165","55017599",1,0.0304878048780488
"166","54869303",1,0.0614035087719298
"167","54886963",1,0.0328947368421053
"168","54937543",1,0.0394736842105263
"169","54967395",1,0.0443037974683544
"170","54910268",1,0.0479452054794521
"171","54865689",1,0.0347222222222222
"172","45184507",1,0.032051282051282
"173","45183256",1,0.152631578947368
"174","52002085",1,0.0671641791044776
"175","52007166",1,0.0393258426966292
"176","52002771",1,0.0528846153846154
"177","52047460",1,0.0483870967741935
"178","51929750",1,0.0301204819277108
"179","51915775",1,0.036231884057971
"180","52018929",1,0.0873015873015873
"181","51928006",1,0.0301204819277108
"182","52094194",1,0.0585106382978723
"183","51934569",1,0.0674603174603175
"184","52076812",1,0.0284090909090909
"185","52061798",1,0.0231481481481481
"186","51952694",1,0.0204918032786885
"187","51896087",1,0.201388888888889
"188","53197947",1,0.0198412698412698
"189","53300529",1,0.0342465753424658
"190","53262629",1,0.0396825396825397
"191","53257088",1,0.0866666666666667
"192","53157010",1,0.136363636363636
"193","53187560",1,0.05625
"194","53349480",1,0.174157303370787
"195","53240514",1,0.0479452054794521
"196","53266565",1,0.0367647058823529
"197","53280034",1,0.150602409638554
"198","53180084",1,0.0407407407407407
"199","44291613",1,0.043859649122807
"200","44267055",1,0.0347222222222222
"201","44391714",1,0.0290697674418605
"202","44396739",1,0.05
"203","31229758",1,0.0905797101449275
"204","35329057",1,0.0613207547169811
"205","35159886",1,0.121794871794872
"206","47844769",1,0.208860759493671
"207","47788938",1,0.131067961165049
"208","42135552",1,0.0915492957746479
"209","42107125",1,0.160194174757282
"210","50750188",1,0.0590909090909091
"211","50707329",1,0.0217391304347826
"212","50653485",1,0.0514705882352941
"213","50773359",1,0.0327102803738318
"214","50734859",1,0.189814814814815
"215","50759081",1,0.126168224299065
"216","50797788",1,0.0225225225225225
"217","50647223",1,0.0373134328358209
"218","50831854",1,0.053030303030303
"219","50842531",1,0.0448717948717949
"220","50823725",1,0.0961538461538462
"221","54015935",1,0.0263157894736842
"222","54025782",1,0.0431034482758621
"223","54010658",1,0.0316455696202532
"224","54034248",1,0.166666666666667
"225","54091034",1,0.227272727272727
"226","54095711",1,0.0533980582524272
"227","54038899",1,0.053030303030303
"228","54186315",1,0.0211864406779661
"229","54027787",1,0.133802816901408
"230","54017666",1,0.0546875
"231","54041513",1,0.0514705882352941
"232","54099868",1,0.0227272727272727
"233","55819881",1,0.0357142857142857
"234","55676275",1,0.0479452054794521
"235","55835988",1,0.192708333333333
"236","55749216",1,0.06
"237","55748722",1,0.0211864406779661
"238","55671055",1,0.028735632183908
"239","55638456",1,0.0517241379310345
"240","55786427",1,0.106060606060606
"241","55637379",1,0.108695652173913
"242","55820218",1,0.038135593220339
"243","55744085",1,0.036231884057971
"244","55637941",1,0.1
"245","55829516",1,0.0290697674418605
"246","55686311",1,0.0328947368421053
"247","55685546",1,0.06
"248","55684210",1,0.0294117647058824
"249","55671923",1,0.0271739130434783
"250","55656495",1,0.0822784810126582
"251","55783796",1,0.036231884057971
"252","55704153",1,0.06
"253","55690884",1,0.0905172413793103
"254","47050105",1,0.0416666666666667
"255","47010706",1,0.178571428571429
"256","41762688",1,0.0304878048780488
"257","41685136",1,0.0290697674418605
"258","54539659",1,0.0548387096774194
"259","54483018",1,0.03125
"260","54603069",1,0.0337837837837838
"261","54560829",1,0.134615384615385
"262","54434368",1,0.0785714285714286
"263","54596984",1,0.0357142857142857
"264","54525994",1,0.0337837837837838
"265","54455521",1,0.0859375
"266","54479779",1,0.0265957446808511
"267","49625960",1,0.117391304347826
"268","49614351",1,0.10625
"269","49601644",1,0.0268817204301075
"270","49574595",1,0.0576923076923077
"271","49706750",1,0.0928571428571429
"272","49706151",1,0.172619047619048
"273","47648009",1,0.0316455696202532
"274","47549976",1,0.0316455696202532
"275","39475569",1,0.0572916666666667
"276","39369490",1,0.0367647058823529
"277","39504785",1,0.0703125
"278","37204422",1,0.0347222222222222
"279","37142921",1,0.0373134328358209
"280","44561427",1,0.0316901408450704
"281","44627613",1,0.0548780487804878
"282","44439965",1,0.0352112676056338
"283","44502544",1,0.125
"284","46945655",1,0.0538461538461538
"285","46720998",1,0.0240384615384615
"286","46824600",1,0.201149425287356
"287","46725353",1,0.0297619047619048
"288","46764407",1,0.040983606557377
"289","46893497",1,0.0403225806451613
"290","53435905",1,0.03125
"291","53461915",1,0.0245098039215686
"292","53369137",1,0.182539682539683
"293","53433728",1,0.0714285714285714
"294","53450947",1,0.0416666666666667
"295","53556931",1,0.10625
"296","53495081",1,0.0681818181818182
"297","53373293",1,0.0225225225225225
"298","53545776",1,0.018796992481203
"299","53406963",1,0.0466666666666667
"300","53424174",1,0.0304878048780488
"301","53382839",1,0.0277777777777778
"302","53559336",1,0.10655737704918
"303","53409872",1,0.0462962962962963
